speaker_id,utterance_count,valid_readable_wav_count,invalid_wav_count,zero_frame_count,duration_seconds,provenance_classes,exact_duplicate_file_count,candidate_source_group_count,positive_pair_support_status
361,449,449,0,0,1347.0,train,0,449,at_least_two_nonzero_readable
362,46,46,0,0,138.0,train,0,46,at_least_two_nonzero_readable
363,76,76,0,0,228.0,train,0,76,at_least_two_nonzero_readable
364,6,6,0,0,18.0,train,0,6,at_least_two_nonzero_readable
365,150,150,0,0,450.0,train,0,150,at_least_two_nonzero_readable
366,125,125,0,0,375.0,train,0,125,at_least_two_nonzero_readable
367,312,312,0,0,936.0,train,0,312,at_least_two_nonzero_readable
368,5,5,0,0,15.0,train,0,5,at_least_two_nonzero_readable
369,87,87,0,0,261.0,train,0,87,at_least_two_nonzero_readable
370,77,77,0,0,231.0,train,0,77,at_least_two_nonzero_readable
371,85,85,0,0,255.0,train,0,85,at_least_two_nonzero_readable
372,85,85,0,0,255.0,train,0,85,at_least_two_nonzero_readable
373,386,386,0,0,1158.0,train,0,386,at_least_two_nonzero_readable
374,216,216,0,0,648.0,train,0,216,at_least_two_nonzero_readable
375,30,30,0,0,90.0,train,0,30,at_least_two_nonzero_readable
376,116,116,0,0,348.0,train,0,116,at_least_two_nonzero_readable
377,36,36,0,0,108.0,train,0,36,at_least_two_nonzero_readable
378,75,75,0,0,225.0,train,0,75,at_least_two_nonzero_readable
379,185,185,0,0,555.0,train,0,185,at_least_two_nonzero_readable
380,10,10,0,0,30.0,train,0,10,at_least_two_nonzero_readable
381,58,58,0,0,174.0,train,0,58,at_least_two_nonzero_readable
382,11,11,0,0,33.0,train,0,11,at_least_two_nonzero_readable
383,141,141,0,0,423.0,train,0,141,at_least_two_nonzero_readable
384,59,59,0,0,177.0,train,0,59,at_least_two_nonzero_readable
385,332,332,0,0,996.0,train,0,332,at_least_two_nonzero_readable
386,520,520,0,0,1560.0,train,0,520,at_least_two_nonzero_readable
387,119,119,0,0,357.0,train,0,119,at_least_two_nonzero_readable
388,23,23,0,0,69.0,train,0,23,at_least_two_nonzero_readable
389,70,70,0,0,210.0,train,0,70,at_least_two_nonzero_readable
390,152,152,0,0,456.0,train,0,152,at_least_two_nonzero_readable
391,29,29,0,0,87.0,train,0,29,at_least_two_nonzero_readable
392,46,46,0,0,138.0,train,0,46,at_least_two_nonzero_readable
393,61,61,0,0,183.0,train,0,61,at_least_two_nonzero_readable
394,82,82,0,0,246.0,train,0,82,at_least_two_nonzero_readable
395,118,118,0,0,354.0,train,0,118,at_least_two_nonzero_readable
396,175,175,0,0,525.0,train,0,175,at_least_two_nonzero_readable
397,51,51,0,0,153.0,train,0,51,at_least_two_nonzero_readable
398,124,124,0,0,372.0,train,0,124,at_least_two_nonzero_readable
399,489,489,0,0,1467.0,train,0,489,at_least_two_nonzero_readable
