candidate,batch,samples,unique_speakers,max_speaker_share,distinct_shards,duplicate_indexes
hybrid_w8,459,32,16,0.0625,4,0
hybrid_w8,460,32,16,0.0625,7,0
hybrid_w8,461,32,16,0.0625,7,0
hybrid_w8,462,32,16,0.0625,5,0
hybrid_w8,463,32,16,0.0625,7,0
hybrid_w8,464,32,16,0.0625,9,0
hybrid_w8,465,32,16,0.0625,9,0
hybrid_w8,466,32,16,0.0625,8,0
hybrid_w8,467,32,16,0.0625,6,0
hybrid_w8,468,32,16,0.0625,7,0
hybrid_w8,469,32,16,0.0625,5,0
hybrid_w8,470,32,16,0.0625,4,0
hybrid_w8,471,32,16,0.0625,6,0
hybrid_w8,472,32,16,0.0625,6,0
hybrid_w8,473,32,16,0.0625,6,0
hybrid_w8,474,32,16,0.0625,5,0
hybrid_w8,475,32,16,0.0625,7,0
hybrid_w8,476,32,16,0.0625,5,0
hybrid_w8,477,32,16,0.0625,8,0
hybrid_w8,478,32,16,0.0625,7,0
hybrid_w8,479,32,16,0.0625,7,0
hybrid_w8,480,32,16,0.0625,6,0
hybrid_w8,481,32,16,0.0625,8,0
hybrid_w8,482,32,16,0.0625,4,0
hybrid_w8,483,32,16,0.0625,8,0
hybrid_w8,484,32,16,0.0625,7,0
hybrid_w8,485,32,16,0.0625,3,0
hybrid_w8,486,32,16,0.0625,5,0
hybrid_w8,487,32,16,0.0625,6,0
hybrid_w8,488,32,16,0.0625,4,0
hybrid_w8,489,32,16,0.0625,3,0
hybrid_w8,490,32,16,0.0625,4,0
hybrid_w8,491,32,16,0.0625,5,0
hybrid_w8,492,32,16,0.0625,7,0
hybrid_w8,493,32,16,0.0625,5,0
hybrid_w8,494,32,16,0.0625,8,0
hybrid_w8,495,32,16,0.0625,9,0
hybrid_w8,496,32,16,0.0625,8,0
hybrid_w8,497,32,16,0.0625,8,0
hybrid_w8,498,32,16,0.0625,7,0
hybrid_w8,499,32,16,0.0625,6,0
hybrid_w8,500,32,16,0.0625,7,0
hybrid_w8,501,32,16,0.0625,5,0
hybrid_w8,502,32,16,0.0625,6,0
hybrid_w8,503,32,16,0.0625,6,0
hybrid_w8,504,32,16,0.0625,7,0
hybrid_w8,505,32,16,0.0625,5,0
hybrid_w8,506,32,16,0.0625,4,0
hybrid_w8,507,32,16,0.0625,6,0
hybrid_w8,508,32,16,0.0625,7,0
hybrid_w8,509,32,16,0.0625,5,0
hybrid_w8,510,32,16,0.0625,6,0
hybrid_w8,511,32,16,0.0625,7,0
hybrid_w8,512,32,16,0.0625,9,0
hybrid_w8,513,32,16,0.0625,7,0
hybrid_w8,514,32,16,0.0625,7,0
hybrid_w8,515,32,16,0.0625,8,0
hybrid_w8,516,32,16,0.0625,6,0
hybrid_w8,517,32,16,0.0625,4,0
hybrid_w8,518,32,16,0.0625,5,0
hybrid_w8,519,32,16,0.0625,5,0
hybrid_w8,520,32,16,0.0625,5,0
hybrid_w8,521,32,16,0.0625,6,0
hybrid_w8,522,32,16,0.0625,8,0
hybrid_w8,523,32,16,0.0625,4,0
hybrid_w8,524,32,16,0.0625,6,0
hybrid_w8,525,32,16,0.0625,7,0
hybrid_w8,526,32,16,0.0625,5,0
hybrid_w8,527,32,16,0.0625,7,0
hybrid_w8,528,32,16,0.0625,7,0
